N28	t1	{12}|{17}#{7}|{1,2,4,3,10,15,8,5,6,9,11,16,14,19,13,18}	1	1537.62	2017.56
N28	t2	{1,2,4,3,10,15,8,5,6,9,11,16,14,19,13,18}|{17}#{7}|{12}	0	280.938	2017.56
N28	t3	{12}|{1,2,4,3,10,15,8,5,6,9,11,16,14,19,13,18}#{7}|{17}	0	199	2017.56
N29	t1	{12,17}|{7}#{13,18}|{1,2,4,3,10,15,8,5,6,9,11,16,14,19}	1	815.554	1625.57
N29	t2	{1,2,4,3,10,15,8,5,6,9,11,16,14,19}|{7}#{13,18}|{12,17}	0	429.964	1625.57
N29	t3	{12,17}|{1,2,4,3,10,15,8,5,6,9,11,16,14,19}#{13,18}|{7}	0	380.054	1625.57
N27	t1	{13}|{18}#{12,17,7}|{1,2,4,3,10,15,8,5,6,9,11,16,14,19}	1	1391.71	1791.38
N27	t2	{1,2,4,3,10,15,8,5,6,9,11,16,14,19}|{18}#{12,17,7}|{13}	0	223.667	1791.38
N27	t3	{13}|{1,2,4,3,10,15,8,5,6,9,11,16,14,19}#{12,17,7}|{18}	0	176	1791.38
N30	t1	{12,17,7}|{13,18}#{14,19}|{1,2,4,3,10,15,8,5,6,9,11,16}	0.999161	481.576	1265.38
N30	t2	{1,2,4,3,10,15,8,5,6,9,11,16}|{13,18}#{14,19}|{12,17,7}	0.00059202	409.569	1265.38
N30	t3	{12,17,7}|{1,2,4,3,10,15,8,5,6,9,11,16}#{14,19}|{13,18}	0.000247302	374.229	1265.38
N26	t1	{14}|{19}#{12,17,7,13,18}|{1,2,4,3,10,15,8,5,6,9,11,16}	1	1288.95	1654.62
N26	t2	{1,2,4,3,10,15,8,5,6,9,11,16}|{19}#{12,17,7,13,18}|{14}	0	196.383	1654.62
N26	t3	{14}|{1,2,4,3,10,15,8,5,6,9,11,16}#{12,17,7,13,18}|{19}	0	169.283	1654.62
N31	t1	{12,17,7,13,18}|{14,19}#{6,9,11,16}|{1,2,4,3,10,15,8,5}	0.973887	425.841	1160.81
N31	t2	{1,2,4,3,10,15,8,5}|{14,19}#{6,9,11,16}|{12,17,7,13,18}	0.0154244	373.497	1160.81
N31	t3	{12,17,7,13,18}|{1,2,4,3,10,15,8,5}#{6,9,11,16}|{14,19}	0.0106883	361.472	1160.81
N23	t1	{6}|{9}#{11,16}|{1,2,4,3,10,15,8,5,12,17,7,13,18,14,19}	1	570.867	1190.03
N23	t2	{1,2,4,3,10,15,8,5,12,17,7,13,18,14,19}|{9}#{11,16}|{6}	0	316.8	1190.03
N23	t3	{6}|{1,2,4,3,10,15,8,5,12,17,7,13,18,14,19}#{11,16}|{9}	0	302.367	1190.03
N24	t1	{11}|{16}#{6,9}|{1,2,4,3,10,15,8,5,12,17,7,13,18,14,19}	1	701.7	971
N24	t2	{1,2,4,3,10,15,8,5,12,17,7,13,18,14,19}|{16}#{6,9}|{11}	0	150.433	971
