mal1g00001,,,,,
mal1g00002,ga198s2g01760,,,,
mal1g00003,.,,,,
mal1g00004,ga198s2g01761,,ga198s13g01610,,
mal1g00005,ga198s2g01762,,.,,
mal1g00006,.,,.,,
mal1g00007,ga198s2g01763,,.,,
mal1g00008,.,,ga198s13g01611,,
mal1g00009,.,,ga198s13g01612,,
mal1g00010,ga198s2g01764,,ga198s13g01615,,
mal1g00011,ga198s2g01765,,.,,
mal1g00012,.,,.,,
mal1g00013,.,,ga198s13g01616,,
mal1g00014,.,,ga198s13g01617,,
mal1g00015,.,,ga198s13g01618,,
mal1g00016,.,,.,,
mal1g00017,.,,ga198s13g01619,,
mal1g00018,.,,.,,
mal1g00019,.,,ga198s13g01622,,
mal1g00020,.,,ga198s13g01623,,
mal1g00021,ga198s2g01766,,.,,
mal1g00022,.,,.,,ga198s1g01014
mal1g00023,.,,.,,.
mal1g00024,.,,.,,.
mal1g00025,.,,.,,.
mal1g00026,.,,.,,.
mal1g00027,.,,.,,.
mal1g00028,.,,ga198s13g01625,,.
mal1g00029,.,,ga198s13g01626,,.
mal1g00030,.,,ga198s13g01627,,.
mal1g00031,.,,ga198s13g01628,,.
mal1g00032,.,,.,,.
mal1g00033,.,,.,,ga198s1g01010
mal1g00034,.,,ga198s13g01629,,.
mal1g00035,.,,ga198s13g01630,,.
mal1g00036,.,,ga198s13g01631,,.
mal1g00037,.,,.,,.
mal1g00038,.,,.,,.
mal1g00039,.,,.,,.
mal1g00040,.,,.,,.
mal1g00041,.,,.,,.
mal1g00042,.,,.,,.
mal1g00043,.,,.,,.
mal1g00044,.,,ga198s13g01632,,.
mal1g00045,.,,.,,.
mal1g00046,ga198s2g01767,,.,,.
mal1g00047,.,,.,,.
mal1g00048,.,,ga198s13g01634,,.
mal1g00049,.,,ga198s13g01635,,.
mal1g00050,ga198s2g01768,,.,,.
mal1g00051,.,,ga198s13g01636,,ga198s1g01008
mal1g00052,.,,.,,ga198s1g01007
mal1g00053,.,,.,,.
mal1g00054,.,,ga198s13g01637,,.
mal1g00055,.,,.,,.
mal1g00056,.,,.,,.
mal1g00057,.,,.,,.
mal1g00058,.,,.,,.
mal1g00059,.,,.,,.
mal1g00060,.,,.,,.
mal1g00061,.,,ga198s13g01638,,.
mal1g00062,.,,ga198s13g01639,,ga198s1g01005
mal1g00063,.,,.,,ga198s1g01004
mal1g00064,.,,.,,.
mal1g00065,.,,.,,.
mal1g00066,.,,.,,ga198s1g01002
mal1g00067,.,,.,,ga198s1g01001
mal1g00068,.,,.,,ga198s1g01000
mal1g00069,ga198s2g01769,,ga198s13g01641,,ga198s1g00999
mal1g00070,.,,ga198s13g01642,ga198s5g04242,ga198s1g00998
mal1g00071,.,,.,ga198s5g04246,.
mal1g00072,.,,.,.,.
mal1g00073,.,,.,.,ga198s1g00996
mal1g00074,.,,ga198s13g01647,.,ga198s1g00995
mal1g00075,.,,ga198s13g01648,.,ga198s1g00994
mal1g00076,.,,.,.,ga198s1g00993
mal1g00077,ga198s2g01771,,.,.,.
mal1g00078,.,,ga198s13g01649,.,.
mal1g00079,.,,.,ga198s5g04247,ga198s1g00992
mal1g00080,.,,.,.,.
mal1g00081,.,,ga198s13g01650,ga198s5g04248,ga198s1g00991
mal1g00082,.,,.,.,.
mal1g00083,.,,.,.,.
mal1g00084,.,,.,.,.
mal1g00085,.,,.,ga198s5g04249,.
mal1g00086,.,,.,ga198s5g04250,.
mal1g00087,.,,.,.,.
mal1g00088,.,,.,.,.
mal1g00089,.,,ga198s13g01651,.,ga198s1g00990
mal1g00090,.,,.,.,ga198s1g00989
mal1g00091,.,,ga198s13g01652,.,ga198s1g00988
mal1g00092,.,,ga198s13g01654,ga198s5g04252,ga198s1g00987
mal1g00093,.,,.,.,ga198s1g00986
mal1g00094,.,,ga198s13g01655,ga198s5g04254,ga198s1g00985
mal1g00095,.,,.,ga198s5g04255,.
mal1g00096,.,,.,.,ga198s1g00984
mal1g00097,.,,.,.,.
mal1g00098,.,,.,.,.
mal1g00099,.,,.,.,.
mal1g00100,.,,.,.,.
mal1g00101,.,,.,.,ga198s1g00983
mal1g00102,.,,ga198s13g01657,ga198s5g04256,.
mal1g00103,.,,.,,ga198s1g00980
mal1g00104,.,,.,,ga198s1g00979
mal1g00105,.,,.,,.
mal1g00106,.,,ga198s13g01658,,.
mal1g00107,.,,.,,ga198s1g00978
mal1g00108,.,,.,,.
mal1g00109,.,,.,,ga198s1g00977
mal1g00110,.,,ga198s13g01659,,.
mal1g00111,.,,ga198s13g01661,,ga198s1g00976
mal1g00112,ga198s2g01772,,.,,.
mal1g00113,ga198s2g01773,,ga198s13g01663,,.
mal1g00114,.,,ga198s13g01664,,.
mal1g00115,.,,ga198s13g01665,,.
mal1g00116,.,,ga198s13g01666,,ga198s1g00973
