mal1g00001,
mal1g00002,hum1sNW_018397262.1g01138
mal1g00003,hum1sNW_018397262.1g01137
mal1g00004,hum1sNW_018397262.1g01135
mal1g00005,hum1sNW_018397262.1g01134
mal1g00006,hum1sNW_018397262.1g01133
mal1g00007,hum1sNW_018397262.1g01132
mal1g00008,hum1sNW_018397262.1g01130
mal1g00009,hum1sNW_018397262.1g01129
mal1g00010,.
mal1g00011,hum1sNW_018397262.1g01127
mal1g00012,hum1sNW_018397262.1g01126
mal1g00013,hum1sNW_018397262.1g01125
mal1g00014,hum1sNW_018397262.1g01124
mal1g00015,hum1sNW_018397262.1g01123
mal1g00016,hum1sNW_018397262.1g01122
mal1g00017,hum1sNW_018397262.1g01118
mal1g00018,hum1sNW_018397262.1g01117
mal1g00019,hum1sNW_018397262.1g01115
mal1g00020,hum1sNW_018397262.1g01114
mal1g00021,.
mal1g00022,hum1sNW_018397262.1g01110
mal1g00023,hum1sNW_018397262.1g01109
mal1g00024,hum1sNW_018397262.1g01108
mal1g00025,hum1sNW_018397262.1g01107
mal1g00026,hum1sNW_018397262.1g01106
mal1g00027,hum1sNW_018397262.1g01105
mal1g00028,hum1sNW_018397262.1g01104
mal1g00029,.
mal1g00030,hum1sNW_018397262.1g01103
mal1g00031,hum1sNW_018397262.1g01099
mal1g00032,hum1sNW_018397262.1g01098
mal1g00033,hum1sNW_018397262.1g01096
mal1g00034,hum1sNW_018397262.1g01094
mal1g00035,hum1sNW_018397262.1g01093
mal1g00036,hum1sNW_018397262.1g01091
mal1g00037,hum1sNW_018397262.1g01089
mal1g00038,hum1sNW_018397262.1g01088
mal1g00039,hum1sNW_018397262.1g01086
mal1g00040,.
mal1g00041,hum1sNW_018397262.1g01085
mal1g00042,hum1sNW_018397262.1g01084
mal1g00043,hum1sNW_018397262.1g01082
mal1g00044,hum1sNW_018397262.1g01081
mal1g00045,hum1sNW_018397262.1g01080
mal1g00046,hum1sNW_018397262.1g01079
mal1g00047,hum1sNW_018397262.1g01078
mal1g00048,hum1sNW_018397262.1g01077
mal1g00049,hum1sNW_018397262.1g01076
mal1g00050,hum1sNW_018397262.1g01075
mal1g00051,hum1sNW_018397262.1g01074
mal1g00052,hum1sNW_018397262.1g01073
mal1g00053,.
mal1g00054,hum1sNW_018397262.1g01072
mal1g00055,hum1sNW_018397262.1g01071
mal1g00056,hum1sNW_018397262.1g01069
mal1g00057,hum1sNW_018397262.1g01067
